P03254 DP01928
Q9NP98 DP03529
Q709Q5 DP03467
Q91VS8 DP02896
P33411 DP02073
P63101 DP02943
Q9MAA7 DP00723
P04480 DP01852
Q9BSQ5 DP02978
Q5SQI0 DP02419
G0S3L5 DP02520
P05059 DP00118
O60885 DP01898
O75554 DP01531
Q15382 DP00364
P9WGI1 DP02525
P07214 DP00052
Q00987-11 DP01133
D1A4G7 DP02490
Q8MWS6 DP01052
P85800 DP01833
P24522 DP00704
P54936 DP01436
P10688 DP00055
Q9J0X9 DP03046
P0A7U3 DP00147
P46527 DP00018
P51587 DP01869
P30996 DP03019
P53551 DP00423
P84634 DP01543
P32357 DP02721
Q16667 DP03142
Q68DK7 DP01278
P06786 DP00076
P03407 DP02889
Q07817 DP00298
Q9VAN6 DP00144
Q3MIT2 DP02614
Q86UE8 DP02475
P58753 DP01768
Q5V913 DP01405
Q99598 DP03150
Q23985 DP02460
Q9LZP9 DP00534
P0AG86 DP03091
Q08605 DP00328
P43403 DP01123
Q13451 DP01845
P21109 DP03435
Q9S446 DP01037
P56287 DP02516
P61244-2 DP01097
Q13569 DP00719
Q8VEL9 DP02573
P56524 DP03448
Q09472 DP00633
Q13563 DP02758
P25891 DP02707
P46014 DP01355
P55145 DP03191
Q9SQZ9 DP00434
P63090 DP03346
O28769 DP02488
P60058 DP00117
P03087 DP00182
P31087 DP00935
P35222 DP01119
P62965 DP00340
Q9UKT4 DP01450
Q02413 DP01476
O17087 DP03319
P31749 DP03300
Q88MI5 DP02372
P08253 DP03256
P33309 DP03506
C6KEI3 DP00919
Q56026 DP02796
Q9BUH6 DP01795
Q9UKV8 DP00736
A0A0G2JXC5 DP01139
P45352 DP02739
Q4VP08 DP03139
P28827 DP02580
P17639 DP01860
Q9JJW6 DP03043
A5YV76 DP01026
A8CDV5 DP01060
P34712 DP03069
Q6NUK1 DP01311
P49790 DP01799
Q9Y6G9 DP02547
P40161 DP01485
Q81AN8 DP03027
P0A2N1 DP02929
P40019 DP01135
P38968 DP01840
Q63450 DP01958
P0ABH9 DP03241
Q92837 DP02373
Q63716 DP02793
Q05193 DP02976
E3T1W8 DP03466
P05387 DP00793
Q9UBT3 DP03389
P04610 DP03559
O95197 DP03672
Q02199 DP02122
P70447 DP02061
O23661 DP02380
O13828 DP01482
Q9SQK3 DP02919
P45379 DP02705
Q91006 DP01033
Q9NQC7 DP03169
P59113 DP00655
Q8HYY9 DP01982
Q8R1S4 DP02569
P11387 DP00075
Q9H8Y8 DP02592
Q8IV16 DP01327
Q8IVG9 DP02267
Q9Y6H6 DP01608
Q06208 DP01606
D0PV95 DP01113
P15382 DP00796
Q10589 DP02885
Q12972 DP00937
P04711 DP03200
P38634 DP00631
Q716H0 DP03396
P0A9K9 DP00766
P07248 DP00077
Q12102 DP02480
P52926 DP01876
O82775 DP02549
P9WKX3 DP01737
Q9Y6K9 DP02269
Q16629 DP03204
P0A9Q9 DP02663
P36106 DP02476
Q13501 DP01111
Q16186 DP00839
P01215 DP02922
P38862 DP02249
P63018 DP02986
O60566 DP01117
A0A3N4AZ09 DP02340
P54274 DP02415
C4LQ26 DP03523
Q9SEL7 DP03094
Q8VHC5 DP01592
P00392 DP03480
P20823 DP01620
Q6FI81 DP01137
Q9UHD9 DP01110
P98066 DP03382
Q13164 DP02831
P09446 DP02984
Q9WTL8 DP03126
P03437 DP03517
P0DOC6 DP02509
Q58876 DP00904
Q8WV28 DP01544
Q8T9B6 DP02312
Q10344 DP03176
O00308 DP03092
P13569 DP00012
P02628 DP00550
Q5D1E7 DP02871
P0AC88 DP03430
P61926 DP00015
P53350 DP00428
P14653 DP02414
O88513 DP02412
P48539 DP00592
P41851 DP00725
Q05158 DP00438
Q03281 DP02124
Q9BP38 DP01095
Q868N5 DP01582
O14936 DP01438
P38582 DP00380
P62495 DP00310
Q96GU1 DP01473
P08033 DP01176
P27469 DP03365
P83916 DP02856
Q7RTP6 DP02396
P01127 DP02770
Q01080 DP02519
P31016 DP01413
P63159 DP02138
Q9BPZ7 DP02693
Q13148 DP01108
Q5D1E8 DP03010
P20435 DP00771
Q8GY88 DP02641
O24646 DP00469
P58004 DP03004
Q90623 DP00218
P01019 DP03155
P05318 DP00164
P27058 DP01969
P62137 DP03014
O31818 DP00892
Q676U5 DP02148
Q8N488 DP00694
P80644 DP01735
Q15059 DP03059
Q81G39 DP02664
Q03479 DP03286
Q05776 DP02326
Q8ZRW0 DP02518
Q03653 DP02751
P27472 DP02097
Q9NRJ3 DP02010
P51449 DP01647
Q00496 DP00732
P40763 DP03428
P49257 DP03190
P01139 DP00836
P14602 DP00142
Q15843 DP02302
P49723 DP00488
Q9BRX5 DP03123
P0A8S9 DP02700
P20893 DP03565
O75223 DP03185
P40458 DP03684
P49913 DP00004
P05221 DP00217
O95644 DP01724
P08670 DP02862
Q9XES8 DP01088
P15436 DP02848
Q8N5Y2 DP01279
A0A1Z3GD08 DP01789
O75496 DP00901
P30281 DP01447
Q96E14 DP02895
P70444 DP01661
P27284 DP03519
Q9BUQ8 DP02332
Q15109 DP02555
Q15726 DP01173
P08050 DP00278
O81283 DP00609
P02549 DP01700
P47110 DP02847
Q00955 DP00557
Q9FG31 DP02066
M5BF30 DP01545
P10279 DP00783
Q12778 DP01132
P17105 DP02461
O43561 DP01126
Q6F3E8 DP01834
Q03164 DP01116
O57173 DP01539
P25024 DP03426
Q3LS93 DP01777
P05451 DP03229
P10619 DP03312
Q92973 DP01457
P16035 DP03255
Q07930 DP01890
Q6QCC2 DP01049
Q7LKB1 DP01051
Q8VDP3 DP02723
P62826 DP01364
O08583 DP02371
O60200 DP02325
P20239 DP01645
P40357 DP00128
P05031 DP03486
G3V7P1 DP01501
Q9GSG7 DP01565
Q8IG33 DP02313
Q13541 DP00028
Q64364 DP00335
O94444 DP02129
Q9NV23 DP02795
Q9SZF7 DP03325
P0AGE2 DP00722
Q925J9 DP02151
Q9Z2F5 DP00499
P23321 DP02577
P32851 DP00155
P80723 DP00930
P30328 DP03516
B0FRH7 DP00544
P0A8Q6 DP03240
P24928 DP01284
Q9JK66 DP01850
Q80VW5 DP02426
P49354 DP00558
P06437 DP02128
Q93KQ4 DP01600
O89339 DP00698
P41567 DP00910
P02631 DP00730
P49915 DP03234
P03422 DP00133
Q91YD9 DP02830
P54252 DP00576
P76045 DP03078
P01501 DP02951
O14187 DP02357
Q13464 DP02365
P0DTC7 DP03460
P13183 DP00828
O28362 DP00382
P35813 DP03556
Q86VN1 DP02599
Q88QP8 DP01571
P05386 DP01253
P03347 DP00148
Q9SLJ2 DP01300
Q8WUG5 DP01769
P27958 DP00588
P13255 DP00031
Q29983 DP00670
Q8K419 DP02811
P36080 DP02355
P27088 DP00091
P78362 DP02591
Q9Y6C2 DP01063
P61765 DP02653
O14214 DP00798
Q56062 DP03360
P47813 DP00903
P0ACF8 DP00776
O06522 DP03020
Q8AVN9 DP01733
Q9JK11 DP01152
Q27934 DP01122
Q13153 DP03433
Q9NJS1 DP00824
Q548Y4 DP01667
O43474 DP01174
P35269 DP03035
O62479 DP03340
P25644 DP01825
P24385 DP02226
Q8R426-2 DP03492
P49799 DP00063
P14907 DP01077
P00488 DP03313
G0SCY6 DP01398
P35260 DP03546
P52848 DP03254
Q9UKY0 DP02823
Q9GZZ9 DP03487
P32504 DP02033
O88483 DP02657
Q8H1D4 DP03285
O75324 DP00162
P03255 DP01150
P84233 DP01389
A0R1T8 DP02502
Q9BRG1 DP01598
P28325 DP03186
F1QGH7 DP02584
P05067 DP01280
O76070 DP00630
Q9H981 DP00873
P83755 DP02575
Q5JJ98 DP01939
P00800 DP02501
Q96DE5 DP01455
Q39532 DP01048
P22515 DP03496
Q84ZX5 DP00807
P55072 DP03238
A5HC98 DP02521
P50097 DP00399
Q02629 DP01076
P02929 DP00043
A0A2Z5UJ33 DP03573
P62328 DP00357
P12950 DP00530
O00410 DP03687
P51023 DP01749
P02760 DP03294
P69723 DP00875
Q92905 DP02290
P21952 DP02410
Q9U3N4 DP03219
P19972 DP00180
Q9UBW5 DP03250
Q9RFD6 DP02993
O65934 DP01947
Q08209 DP00092
Q09882 DP01658
P33328 DP01502
Q56WD9 DP02979
Q8IRG6 DP00721
P40517 DP01079
P0AE72 DP01291
O15234 DP02170
Q14061 DP00543
Q8NG31 DP01269
P21575 DP02617
P03086 DP01186
Q96PY5 DP02609
P14921 DP01441
Q00958 DP03270
P69697 DP03535
P0AG11 DP00626
P0DJ89 DP00963
Q9Y258 DP00696
P11021 DP01938
Q15418 DP01508
P0A705 DP03330
P37727 DP00458
Q63K18 DP00956
P0AFZ3 DP00194
P42568 DP01070
P41814 DP02050
Q47184 DP01201
P70365 DP03695
P0DMV9 DP02353
P27001 DP00053
P44228 DP01440
Q6CMF0 DP01979
P30429-2 DP03045
P10961 DP00135
Q13162 DP02764
P18075 DP03490
Q9CXY6 DP01563
Q8N300 DP03251
Q15910 DP01817
Q58MU6 DP03521
Q7Q3R9 DP01832
Q15631 DP02701
P10912 DP00033
P17810 DP00220
P62552 DP00928
P52948 DP02123
P60472 DP00516
P10565 DP03018
P36955 DP03344
Q05344 DP00720
P45976 DP00625
P21447 DP02756
P24864 DP01120
P32882 DP00169
Q12476 DP02464
Q9C1S9 DP01080
P49841 DP00385
Q13469 DP01344
P52695 DP02188
Q9HCJ0 DP01324
Q980M2 DP00856
C6ZFX3 DP01431
Q05471 DP02295
P0A968 DP02900
P08179 DP02740
P34257 DP02799
O29867 DP01200
P31751 DP00304
P46669 DP01185
B2LME8 DP00787
P35585 DP02898
Q9S7B5 DP02754
P38936 DP00016
P29131 DP02271
P53632 DP01775
P27392 DP01012
Q9YIJ1 DP02489
P50440 DP00099
P07567 DP01625
Q9UNA0 DP02607
P18065 DP03278
P00880 DP02960
P40855 DP01805
P20963 DP00200
P22626 DP01109
A0A178W0D3 DP02341
P55285 DP03681
Q5SHN5 DP03357
Q9UGL1 DP00712
P56254 DP01017
Q9RJY2 DP01934
P23771 DP02798
P32004 DP00666
Q99P68 DP02853
P09919 DP03184
Q13029 DP01757
P84040 DP01870
P02313 DP00195
O95405 DP00141
O95071 DP02717
Q9NQA5 DP01765
A7ZUK2 DP02486
Q9TY14 DP00749
Q01231 DP00646
Q06406 DP01402
P09429 DP01493
O95292 DP01248
Q6BBK3 DP01296
Q9H832 DP00953
Q00944 DP02120
Q62627 DP00940
Q8NBP7 DP02551
P61012 DP00801
P26368 DP02921
P11157 DP00462
Q07912 DP01772
P18212 DP01591
O13916 DP01246
P23441 DP00071
Q9BSY4 DP00757
P0ABS5 DP02134
P33128 DP02923
P29536 DP02368
P03496 DP03575
Q2Q4X9 DP01442
Q9NR00 DP00372
P27321 DP01994
Q15276 DP03275
Q92574 DP02744
B4Y891 DP01984
P04611 DP03563
O43236 DP00537
Q92945 DP01590
P84092 DP00455
A6Q0K5 DP00359
P42763 DP00667
Q9KMA5 DP01289
Q12287 DP00277
P0ACX9 DP00989
Q9UPP1 DP03444
Q8CJ26 DP03177
Q32NN2 DP00286
P00533 DP00309
Q9BXW4 DP03711
O24172 DP00580
P04275 DP02981
Q8VZS8 DP03469
Q04049 DP02736
P08581 DP02738
Q4JC68 DP01941
Q8IU57 DP02446
P23588 DP03242
P16442 DP00339
P0AES9 DP02548
Q9T0N8 DP03465
Q04206 DP00085
Q01101 DP01023
Q9NPI8 DP02782
Q9UJX6 DP01526
Q01924 DP01322
P39286 DP03326
I1WVY3 DP03022
P15146 DP00122
P52945 DP01597
P0C5S4 DP00292
P16009 DP00284
P62326 DP00795
O60934 DP02840
Q44177 DP02968
Q9BP37 DP01094
P76216 DP02760
P0AG30 DP02127
N1NXA6 DP00823
Q96AE4 DP03131
Q8TEA8 DP02452
P04818 DP00073
O00268 DP01170
P37231 DP00718
P12956 DP01254
P01099 DP00325
Q01844 DP00632
P52179 DP00517
Q9UBT2 DP00486
Q09514 DP01973
P89522 DP03547
P21815 DP00332
P12464 DP03421
Q07889 DP01534
Q9SR19 DP02961
Q15004 DP01425
P04695 DP00273
Q9XWJ1 DP03048
Q02248 DP00341
P07948 DP02545
P08476 DP02234
Q08188 DP03279
P55211 DP02860
P39900 DP00571
Q16543 DP01420
P50148 DP03235
P08631 DP02383
P53954 DP00618
Q2GI62 DP01875
Q02297-10 DP01520
P22531 DP00130
O23764 DP01071
Q8JXF6 DP03568
Q14722 DP00090
Q8GXX0 DP02648
P76407 DP01981
Q00169 DP02327
Q02388 DP02163
P50616 DP00794
Q48245 DP03034
Q04660 DP00900
P26039 DP00653
P10721 DP02247
A0ZWU1 DP01791
P63045 DP00622
P01137 DP01252
P06149 DP03316
P41236 DP00816
O89467 DP00764
Q9NPF0 DP03134
A4L7I4 DP01469
P42226 DP02262
P13797 DP02682
Q49AN0 DP00473
Q6CSX2 DP03728
Q9Y4F1 DP02833
Q39026 DP02631
Q55DL0 DP02958
Q8ZQC8 DP02655
Q03692 DP03180
Q49ZM2 DP00848
P17181 DP02458
O56139 DP02494
P0AFD6 DP03502
Q9Z1X4 DP01562
P03126 DP01615
P05107 DP01848
P14448 DP00233
P04183 DP02006
A7YK37 DP02498
Q9UBV7 DP02634
Q96RJ3 DP03249
Q98XH7 DP01295
P37173 DP01760
P18564 DP02530
P60723 DP00600
P04613 DP03562
Q9UJY5 DP00314
Q9NHC3 DP00868
O60260 DP01849
P15825 DP02536
P02666 DP00329
P9WJA9 DP01589
P69428 DP00834
Q9BQ15 DP00864
P12272 DP00138
P30260 DP01445
Q9V6K1 DP02711
Q9Y3D6 DP00457
Q9JLC3 DP02258
P03520 DP01391
P50402 DP01770
P00441 DP00652
O95835 DP03124
Q9SLF3 DP00610
O94742 DP01014
P11940 DP03230
P22995 DP00833
Q92886 DP00672
P10163 DP00119
Q6R327 DP02692
Q9L9I0 DP00861
P97427 DP02621
Q99ML1 DP01794
P08083 DP00461
Q96F86 DP02253
P19880 DP01584
Q53TN4 DP03005
P04486 DP02291
P29317 DP03145
Q98157 DP00685
Q9BZE9 DP03237
P77072 DP00575
P0AE70 DP00299
Q9UJX3 DP01479
Q15046 DP02382
P05121 DP00320
P15183 DP03520
P08799 DP03253
O50835 DP01047
Q9KRE7 DP02933
P03404 DP01843
E1UJ20 DP01432
Q01417 DP00664
Q87P35 DP01785
P63028 DP02800
Q38825 DP01121
Q07812 DP02540
Q8QWD4 DP00986
P53816 DP02684
P25814 DP00387
P46984 DP00958
Q5RJL0 DP01521
P03406 DP00048
P41352 DP01459
A0A384E149 DP03026
O60563 DP01462
Q8NBZ7 DP03170
P47142 DP01599
A0A5P2U9X4 DP03725
P0DMM9 DP00011
Q69422 DP00674
P63000 DP03298
P0AFD1 DP03501
Q76LA1 DP01054
P50553 DP01942
P9WHJ5 DP00791
P49327 DP03143
Q99075 DP01873
P03709 DP01336
P25054 DP00519
Q72500 DP03543
P69346 DP01488
P01100 DP00078
O95997 DP00521
P12355 DP00990
P42768 DP01171
Q8A6W3 DP02506
Q8IYV9 DP03207
Q00987 DP00334
P15273 DP01528
P35256 DP03545
Q39805 DP01035
Q16576 DP01282
Q9XWG3 DP03217
P83917 DP02864
Q68FT9 DP00620
O96013 DP01184
Q9UJX4 DP01443
P11274 DP03016
Q25733 DP01096
Q9UPR3 DP01878
Q9I332 DP00993
P08523 DP00279
Q12983 DP03666
O14352 DP02068
P07749 DP02940
Q00780 DP02369
F2Z293 DP00869
Q9BE39 DP02522
O75817 DP02615
Q9Y5S9 DP02868
Q8BTI9 DP02790
P03040 DP00741
Q13740 DP02515
P00519 DP03166
Q15642 DP02473
O60880 DP02714
Q9WMX2 DP00615
Q9MAB9 DP02643
C4R4Y0 DP02526
Q5VZK9 DP01701
P52630 DP00961
P32684 DP02011
P59595 DP00948
P49848 DP01262
Q9WTY2 DP02429
Q9Y261 DP01124
Q13426 DP00152
Q14449 DP00230
Q04207 DP00129
Q5R6Q2 DP01500
P02668 DP00192
Q97W73 DP03224
P0CE48 DP01965
P40719 DP00774
P9WJD9 DP03359
Q9SIN5 DP01058
A7UMX5 DP01056
Q57565 DP00897
Q98148 DP02334
Q3UKX1 DP03174
P12296 DP01129
Q9M605 DP01854
J8TM36 DP00925
D2JX42 DP01786
G8HXD9 DP00878
P44654 DP00899
O61667 DP01407
Q86UX7 DP01784
P40999 DP02685
P49918 DP00017
P06899 DP01158
P9WJ35 DP00908
Q70627 DP02888
Q08655 DP00531
Q9W058 DP02828
G5ED39 DP03050
P29375 DP02224
O35274 DP00943
P36871 DP02748
Q6P1M3 DP02730
P09950 DP02768
P10388 DP00285
Q9UKL0 DP02523
Q02297 DP03306
P0C8E0 DP02320
Q7X2A1 DP01082
Q9Y613 DP00448
P04156 DP00466
Q9SN68 DP02962
P0ABS1 DP00414
Q03337 DP00835
P04626 DP01484
P09415 DP00966
F6IAY2 DP02965
O14727 DP03173
Q81EJ6 DP03475
Q03768 DP00163
E5LC01 DP01621
O00204 DP00404
Q13177 DP03447
Q9H816 DP01268
P11166 DP02855
O94907 DP01335
Q8L3W1 DP03282
P78356 DP00054
Q13573 DP00608
P23025 DP00243
P04004 DP02913
P02783 DP00527
P00004 DP00006
Q8VY98 DP02550
Q9C552 DP03269
P52874 DP03239
P09038 DP01644
Q64487-12 DP02517
P12537 DP02508
Q9H0E2 DP03713
Q8K4J6 DP01999
P0AG16 DP00578
P11746 DP02397
P38293 DP01140
P53780 DP02642
Q12142 DP03714
P04035 DP02709
P30429 DP02025
O82132 DP02209
Q03132 DP01272
Q9Y4P1 DP01326
P08294 DP02656
Q09535 DP03472
B6KJB6 DP01535
A0L5S6 DP00927
O00585 DP00765
P40818 DP03012
Q5UPT2 DP01481
P40709 DP02485
Q9HD26 DP02150
P68246 DP01871
P81019 DP00669
P62696 DP03198
Q62420 DP02819
E6PBU3 DP00761
P12520 DP03534
O43236-6 DP01325
P14859 DP00231
O80358 DP03263
P15498 DP03231
P02774 DP03098
P03259 DP01151
P09938 DP00487
Q07412 DP00614
P22605 DP02633
J9V8B5 DP03402
P03069 DP00083
P53778 DP03366
P53563 DP00449
Q04964 DP01559
Q99801 DP00683
Q9SKB2 DP02660
P08067 DP00687
P12957 DP00120
O75936 DP02678
P62805 DP02034
P27577 DP00111
P19429 DP00166
O25555 DP02949
P30273 DP00509
O60568 DP03260
C0J347 DP00957
Q9BTT0 DP02409
Q29502 DP03457
P35201 DP02395
Q14194 DP02620
F4JL28 DP02690
A0A1Z3GD05 DP01787
P48788 DP01747
P28229 DP01464
Q12432 DP02466
Q62902 DP02789
P0ABJ3 DP03355
O43663 DP02316
Q9Y3M2 DP00709
P0AD27 DP02484
Q12905 DP01564
Q80FJ1 DP01043
P34233 DP01579
Q05320 DP03537
P36118 DP01471
P68466 DP02194
P04608 DP00929
O08908 DP02791
P47523 DP02590
Q9QUG2 DP02626
P27708 DP01024
P10121 DP00896
Q9BYF1 DP02854
P02547 DP00151
Q07097 DP00629
Q9I1X7 DP01670
A0A5F9ZHA1 DP03660
O43806 DP01128
Q9XTW2 DP02991
P06179 DP00026
P04591 DP03558
Q2MKA7 DP03281
Q4DRC4 DP01027
P10114 DP00167
P05371 DP00014
Q64693 DP00008
P68688 DP01740
Q96T21 DP00420
J7QA90 DP02901
Q16611 DP02539
P00749 DP03199
P03714 DP01762
P33334 DP02722
P09237 DP03301
P17838 DP00206
Q8IYB8 DP03206
P77522 DP01920
P17931 DP01332
P11632 DP00432
Q96RI1 DP01914
Q06628 DP01732
P83949 DP00623
P06734 DP02975
P12301 DP01660
P35521 DP00717
P08240 DP00893
Q9UBP0 DP03454
Q94218-2 DP03322
O75469 DP00323
P03431 DP03572
P26554 DP02256
Q97W59 DP01285
Q9Y5C1 DP02665
Q92731 DP00079
P23280 DP02680
Q95V77 DP00186
P21401 DP02493
P62799 DP01390
P05055 DP03327
P06239 DP01580
P04859 DP00939
I1JLC8 DP01036
Q03071 DP01430
P80220 DP00759
O35718 DP00446
P06401 DP01542
Q9Y3B4 DP01458
P80457 DP00450
P05231 DP02745
Q9NWW9 DP02737
P59635 DP03442
Q9IK91 DP00699
P46674 DP02481
Q9FUW7 DP01040
Q96N21 DP02404
Q14318 DP03659
Q96PU5 DP02292
P05661 DP03483
O87120 DP01002
P63098 DP00565
P32774 DP00009
P0A877 DP00252
Q9H1D0 DP01767
P36100 DP01237
Q9UBB5 DP01068
P12810 DP00677
P12493 DP00101
Q7KZI7 DP03130
Q9DDG2 DP00885
Q9P2K3-3 DP02408
Q9I832 DP01808
P03372 DP00074
Q6ZPF4 DP02638
Q99523 DP01551
P25638 DP01243
Q01484 DP03650
P81455 DP00116
Q86XI6 DP03015
P68336 DP00087
O94258 DP03473
Q9ERE3 DP02635
Q8LBP4 DP00662
P02545 DP00716
Q9NRN7 DP03172
Q16790 DP02538
P21374 DP01593
P55036 DP01192
P90976 DP01437
Q3U4G3 DP03310
O35254 DP02422
Q05080 DP02589
P32639 DP01330
Q9BZZ5-2 DP02894
Q20363 DP03090
Q3UND0 DP02892
P63158 DP00384
P48443 DP02915
P12497 DP00410
Q9IH62 DP00686
P97784 DP03007
Q14691 DP03122
Q86FP8 DP00977
P01050 DP00137
P01096 DP00844
Q61937 DP03409
P37840 DP00070
Q8TEQ6 DP03070
P25916 DP01316
Q96H20 DP02598
P07342 DP00398
A4L7I2 DP01466
P16860 DP00551
Q02554 DP01978
Q9H2Y7 DP02007
Q8BH64 DP01940
P03316 DP03350
P09803 DP00159
Q84MC7 DP02995
Q51912 DP01030
A8AZZ3 DP00858
P9WHN5 DP00877
P49235 DP03112
O62301 DP03047
Q96CV9 DP03201
Q6ZVN8 DP02661
Q8WUM0 DP02164
F9UST4 DP01168
O92972 DP01142
O43312 DP01224
P0ADC1 DP03315
P0A6Y8 DP02985
P28235 DP01175
O33599 DP00352
A1B8N7 DP00806
O32728 DP00902
Q9HZJ8 DP01948
P07986 DP01933
P16869 DP03193
Q5QGG3 DP02886
P37455 DP02196
Q9DBG5 DP02683
Q921Z5 DP02802
O61130 DP02939
Q98325 DP02042
Q8TEK3 DP01985
P50490 DP02941
O23813 DP03111
Q9W1M7 DP03721
P43629 DP02552
O60829 DP01435
Q05919 DP03718
A1L1Q4 DP03175
P16278 DP02785
A0A0H2ZP82 DP01635
P11171 DP00678
P42224 DP00962
Q9DEA6 DP02983
P34369 DP03106
P16458 DP00659
O00204-2 DP01099
P56962 DP03670
Q8NHZ8 DP01453
P13021 DP03288
P36594 DP02514
P53041 DP00365
Q14457 DP01149
P10824 DP03347
A6ND01 DP03209
P02699 DP00271
Q9SQQ6 DP02225
P0A8H9 DP00202
Q9BVI0 DP02427
P04386 DP02132
P12504 DP03526
Q9NQI0 DP01065
P02511 DP00445
P22868 DP00379
Q12483 DP01604
Q87WW0 DP00985
F1RE08 DP02884
Q9BQ50 DP02710
Q07666 DP01705
P01130 DP01396
Q9KJ82 DP01004
Q7K5N4 DP02890
Q8ZKB0 DP03361
Q9UBU9 DP01451
Q9FUM5 DP01038
P00760 DP00728
P20351 DP03479
O14140 DP01191
P31109 DP00113
P04972 DP00347
Q9NQI0-2 DP01066
P03265 DP00003
Q09427 DP01429
P38516 DP01961
P47992 DP02957
P51671 DP00641
A8BB85 DP02926
P35637 DP01102
Q9X0Q3 DP00863
A3RMR8 DP01468
P70475 DP00049
P78794 DP02356
P04578 DP00976
P24071 DP00311
Q7YUB9 DP01074
P15941 DP01790
Q8PMB6 DP01005
Q03519 DP02210
P0AFC3 DP03504
P08235 DP01561
P0A8N3 DP03331
C4PB33 DP02330
Q9QWH1 DP01315
Q16630 DP02869
P07477 DP03264
Q22472 DP00613
P10415 DP00297
P08008 DP01144
P19793 DP00062
P15340 DP00057
P63144 DP03354
P0ACN7 DP02541
